"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","glycosaminoglycan binding","GO:0005539","0.008264077571826177","2.082805614908336","8","6","2","2920","Q76NM5,Q8IBE8"
"GO:MF","heparin binding","GO:0008201","0.008264077571826177","2.082805614908336","8","6","2","2920","Q76NM5,Q8IBE8"
"GO:MF","host cell surface binding","GO:0046812","0.03639363958416632","1.438974510165898","84","6","3","2920","Q76NM5,Q8IBB9,Q8IBE8"
"GO:MF","sulfur compound binding","GO:1901681","0.07365289065907062","1.1328102037073273","23","6","2","2920","Q76NM5,Q8IBE8"
"GO:MF","host cell surface receptor binding","GO:0046789","0.8105076115544289","0.0912429022953364","77","6","2","2920","Q76NM5,Q8IBE8"
"GO:MF","nucleotide binding","GO:0000166","1","0","594","6","1","2920","Q8I2U8"
"GO:MF","carbohydrate derivative binding","GO:0097367","1","0","552","6","3","2920","Q76NM5,Q8I2U8,Q8IBE8"
"GO:MF","organic cyclic compound binding","GO:0097159","1","0","1222","6","1","2920","Q8I2U8"
"GO:MF","nucleoside monophosphate kinase activity","GO:0050145","1","0","12","6","1","2920","C0H582"
"GO:MF","anion binding","GO:0043168","1","0","570","6","1","2920","Q8I2U8"
"GO:MF","ion binding","GO:0043167","1","0","883","6","1","2920","Q8I2U8"
"GO:MF","small molecule binding","GO:0036094","1","0","614","6","1","2920","Q8I2U8"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","1","0","522","6","1","2920","Q8I2U8"
"GO:MF","guanyl ribonucleotide binding","GO:0032561","1","0","91","6","1","2920","Q8I2U8"
"GO:MF","purine ribonucleotide binding","GO:0032555","1","0","532","6","1","2920","Q8I2U8"
"GO:MF","ribonucleotide binding","GO:0032553","1","0","537","6","1","2920","Q8I2U8"
"GO:MF","nucleobase-containing compound kinase activity","GO:0019205","1","0","18","6","1","2920","C0H582"
"GO:MF","guanyl nucleotide binding","GO:0019001","1","0","91","6","1","2920","Q8I2U8"
"GO:MF","nucleoside-triphosphatase activity","GO:0017111","1","0","197","6","1","2920","Q8I2U8"
"GO:MF","purine nucleotide binding","GO:0017076","1","0","535","6","1","2920","Q8I2U8"
"GO:MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818","1","0","218","6","1","2920","Q8I2U8"
"GO:MF","hydrolase activity, acting on acid anhydrides","GO:0016817","1","0","218","6","1","2920","Q8I2U8"
"GO:MF","hydrolase activity","GO:0016787","1","0","694","6","1","2920","Q8I2U8"
"GO:MF","phosphotransferase activity, phosphate group as acceptor","GO:0016776","1","0","18","6","1","2920","C0H582"
"GO:MF","transferase activity, transferring phosphorus-containing groups","GO:0016772","1","0","264","6","1","2920","C0H582"
"GO:MF","transferase activity","GO:0016740","1","0","566","6","1","2920","C0H582"
"GO:MF","pyrophosphatase activity","GO:0016462","1","0","214","6","1","2920","Q8I2U8"
"GO:MF","kinase activity","GO:0016301","1","0","178","6","1","2920","C0H582"
"GO:MF","GTP binding","GO:0005525","1","0","89","6","1","2920","Q8I2U8"
"GO:MF","protein binding","GO:0005515","1","0","797","6","2","2920","Q8IBE8,Q8IIA7"
"GO:MF","binding","GO:0005488","1","0","2077","6","5","2920","Q76NM5,Q8I2U8,Q8IBB9,Q8IBE8,Q8IIA7"
"GO:MF","adenylate kinase activity","GO:0004017","1","0","7","6","1","2920","C0H582"
"GO:MF","GTPase activity","GO:0003924","1","0","72","6","1","2920","Q8I2U8"
"GO:MF","catalytic activity","GO:0003824","1","0","1540","6","2","2920","C0H582,Q8I2U8"
"GO:MF","molecular_function","GO:0003674","1","0","2916","6","6","2920","C0H582,Q76NM5,Q8I2U8,Q8IBB9,Q8IBE8,Q8IIA7"
"GO:MF","nucleoside phosphate binding","GO:1901265","1","0","594","6","1","2920","Q8I2U8"
"GO:MF","heterocyclic compound binding","GO:1901363","1","0","1221","6","1","2920","Q8I2U8"
"GO:BP","cell migration","GO:0016477","0.30819908181324396","0.5111686594658652","1","5","1","2939","Q76NM5"
"GO:BP","leukocyte migration","GO:0050900","0.30819908181324396","0.5111686594658652","1","5","1","2939","Q76NM5"
"GO:BP","cellular nitrogen compound metabolic process","GO:0034641","1","0","1214","5","1","2939","C0H582"
"GO:BP","cellular protein localization","GO:0034613","1","0","195","5","1","2939","Q8I2U8"
"GO:BP","macromolecule localization","GO:0033036","1","0","278","5","1","2939","Q8I2U8"
"GO:BP","organophosphate metabolic process","GO:0019637","1","0","184","5","1","2939","C0H582"
"GO:BP","aromatic compound biosynthetic process","GO:0019438","1","0","326","5","1","2939","C0H582"
"GO:BP","phosphorus metabolic process","GO:0006793","1","0","386","5","1","2939","C0H582"
"GO:BP","heterocycle biosynthetic process","GO:0018130","1","0","331","5","1","2939","C0H582"
"GO:BP","phosphate-containing compound metabolic process","GO:0006796","1","0","379","5","1","2939","C0H582"
"GO:BP","nitrogen compound metabolic process","GO:0006807","1","0","1752","5","1","2939","C0H582"
"GO:BP","metabolic process","GO:0008152","1","0","1965","5","1","2939","C0H582"
"GO:BP","phosphorylation","GO:0016310","1","0","196","5","1","2939","C0H582"
"GO:BP","intracellular protein transport","GO:0006886","1","0","172","5","1","2939","Q8I2U8"
"GO:BP","movement of cell or subcellular component","GO:0006928","1","0","73","5","1","2939","Q76NM5"
"GO:BP","vesicle-mediated transport","GO:0016192","1","0","143","5","1","2939","Q8I2U8"
"GO:BP","protein transport","GO:0015031","1","0","217","5","1","2939","Q8I2U8"
"GO:BP","cellular process","GO:0009987","1","0","2641","5","3","2939","C0H582,Q76NM5,Q8I2U8"
"GO:BP","cell adhesion","GO:0007155","1","0","89","5","1","2939","Q76NM5"
"GO:BP","obsolete pathogenesis","GO:0009405","1","0","75","5","2","2939","Q76NM5,Q8IBE8"
"GO:BP","protein localization","GO:0008104","1","0","236","5","1","2939","Q8I2U8"
"GO:BP","nucleotide biosynthetic process","GO:0009165","1","0","66","5","1","2939","C0H582"
"GO:BP","nucleoside monophosphate metabolic process","GO:0009123","1","0","25","5","1","2939","C0H582"
"GO:BP","nucleotide metabolic process","GO:0009117","1","0","99","5","1","2939","C0H582"
"GO:BP","biosynthetic process","GO:0009058","1","0","785","5","1","2939","C0H582"
"GO:BP","biological_process","GO:0008150","1","0","2934","5","4","2939","C0H582,Q76NM5,Q8I2U8,Q8IBE8"
"GO:BP","transport","GO:0006810","1","0","466","5","1","2939","Q8I2U8"
"GO:BP","cellular metabolic process","GO:0044237","1","0","1870","5","1","2939","C0H582"
"GO:BP","locomotion","GO:0040011","1","0","23","5","1","2939","Q76NM5"
"GO:BP","establishment of localization in cell","GO:0051649","1","0","261","5","1","2939","Q8I2U8"
"GO:BP","localization of cell","GO:0051674","1","0","23","5","1","2939","Q76NM5"
"GO:BP","biological process involved in interaction with host","GO:0051701","1","0","259","5","1","2939","Q8IBE8"
"GO:BP","movement in host environment","GO:0052126","1","0","41","5","1","2939","Q8IBE8"
"GO:BP","nucleobase-containing small molecule metabolic process","GO:0055086","1","0","119","5","1","2939","C0H582"
"GO:BP","cellular macromolecule localization","GO:0070727","1","0","196","5","1","2939","Q8I2U8"
"GO:BP","organic substance transport","GO:0071702","1","0","293","5","1","2939","Q8I2U8"
"GO:BP","organic substance metabolic process","GO:0071704","1","0","1884","5","1","2939","C0H582"
"GO:BP","nitrogen compound transport","GO:0071705","1","0","261","5","1","2939","Q8I2U8"
"GO:BP","organophosphate biosynthetic process","GO:0090407","1","0","137","5","1","2939","C0H582"
"GO:BP","cell-cell adhesion","GO:0098609","1","0","86","5","1","2939","Q76NM5"
"GO:BP","nucleoside phosphate biosynthetic process","GO:1901293","1","0","69","5","1","2939","C0H582"
"GO:BP","organic cyclic compound metabolic process","GO:1901360","1","0","971","5","1","2939","C0H582"
"GO:BP","organic cyclic compound biosynthetic process","GO:1901362","1","0","332","5","1","2939","C0H582"
"GO:BP","organic substance biosynthetic process","GO:1901576","1","0","780","5","1","2939","C0H582"
"GO:BP","cellular localization","GO:0051641","1","0","285","5","1","2939","Q8I2U8"
"GO:BP","nucleobase-containing compound biosynthetic process","GO:0034654","1","0","295","5","1","2939","C0H582"
"GO:BP","establishment of localization","GO:0051234","1","0","469","5","1","2939","Q8I2U8"
"GO:BP","cell motility","GO:0048870","1","0","23","5","1","2939","Q76NM5"
"GO:BP","nucleoside phosphate metabolic process","GO:0006753","1","0","102","5","1","2939","C0H582"
"GO:BP","primary metabolic process","GO:0044238","1","0","1821","5","1","2939","C0H582"
"GO:BP","cellular biosynthetic process","GO:0044249","1","0","769","5","1","2939","C0H582"
"GO:BP","cellular nitrogen compound biosynthetic process","GO:0044271","1","0","636","5","1","2939","C0H582"
"GO:BP","small molecule metabolic process","GO:0044281","1","0","294","5","1","2939","C0H582"
