"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","biological process involved in symbiotic interaction","GO:0044403","1","0","283","5","2","2939","Q76NM5,Q8IBE8"
"GO:BP","adhesion of symbiont to host","GO:0044406","1","0","83","5","2","2939","Q76NM5,Q8IBE8"
"GO:BP","entry into host","GO:0044409","1","0","37","5","1","2939","Q8IBE8"
"GO:BP","biological process involved in interspecies interaction between organisms","GO:0044419","1","0","284","5","2","2939","Q76NM5,Q8IBE8"
"GO:BP","adhesion of symbiont to host cell","GO:0044650","1","0","77","5","2","2939","Q76NM5,Q8IBE8"
"GO:BP","obsolete multi-organism cellular process","GO:0044764","1","0","9","5","1","2939","Q8IBB9"
"GO:BP","establishment of protein localization","GO:0045184","1","0","218","5","1","2939","Q8I2U8"
"GO:BP","heterocycle metabolic process","GO:0046483","1","0","969","5","1","2939","C0H582"
"GO:BP","intracellular transport","GO:0046907","1","0","259","5","1","2939","Q8I2U8"
"GO:BP","nucleoside monophosphate phosphorylation","GO:0046940","1","0","8","5","1","2939","C0H582"
"GO:BP","localization","GO:0051179","1","0","511","5","2","2939","Q76NM5,Q8I2U8"
"GO:BP","cellular aromatic compound metabolic process","GO:0006725","1","0","964","5","1","2939","C0H582"
"GO:BP","immune system process","GO:0002376","1","0","16","5","1","2939","Q76NM5"
"GO:BP","nucleobase-containing compound metabolic process","GO:0006139","1","0","930","5","1","2939","C0H582"
"GO:CC","microneme","GO:0020009","0.00014359217758850733","3.842869218329648","21","6","3","3609","Q76NM5,Q8IBB9,Q8IBE8"
"GO:CC","apical complex","GO:0020007","0.003789174309542877","2.421455415856869","61","6","3","3609","Q76NM5,Q8IBB9,Q8IBE8"
"GO:CC","apical part of cell","GO:0045177","0.0041756651269787975","2.379274337433167","63","6","3","3609","Q76NM5,Q8IBB9,Q8IBE8"
"GO:CC","cell envelope","GO:0030313","0.07104745259359391","1.1484514890859656","1","6","1","3609","Q8IBB9"
"GO:CC","cell outer membrane","GO:0009279","0.07104745259359391","1.1484514890859656","1","6","1","3609","Q8IBB9"
"GO:CC","extrinsic component of cell outer membrane","GO:0031244","0.07104745259359391","1.1484514890859656","1","6","1","3609","Q8IBB9"
"GO:CC","external encapsulating structure","GO:0030312","0.21284709230214302","0.6719322783304427","3","6","1","3609","Q8IBB9"
"GO:CC","outer membrane","GO:0019867","0.5656288985927486","0.2474684100690942","8","6","1","3609","Q8IBB9"
"GO:CC","plasma membrane","GO:0005886","0.8294434851420041","0.08121319966628808","137","6","2","3609","Q76NM5,Q8IBB9"
"GO:CC","cell periphery","GO:0071944","0.9360768121359933","0.0286885126741963","146","6","2","3609","Q76NM5,Q8IBB9"
"GO:CC","extrinsic component of membrane","GO:0019898","0.9857442909336235","0.0062357295204800755","14","6","1","3609","Q8IBB9"
"GO:CC","cellular_component","GO:0005575","1","0","3593","6","6","3609","C0H582,Q76NM5,Q8I2U8,Q8I522,Q8IBB9,Q8IBE8"
"GO:CC","extracellular region","GO:0005576","1","0","83","6","1","3609","Q8I522"
"GO:CC","cellular anatomical entity","GO:0110165","1","0","3529","6","6","3609","C0H582,Q76NM5,Q8I2U8,Q8I522,Q8IBB9,Q8IBE8"
"GO:CC","extracellular membrane-bounded organelle","GO:0065010","1","0","56","6","1","3609","Q8I522"
"GO:CC","anchored component of plasma membrane","GO:0046658","1","0","26","6","1","3609","Q8IBB9"
"GO:CC","host intracellular region","GO:0043656","1","0","233","6","1","3609","Q8I522"
"GO:CC","intracellular membrane-bounded organelle","GO:0043231","1","0","1970","6","5","3609","Q76NM5,Q8I2U8,Q8I522,Q8IBB9,Q8IBE8"
"GO:CC","extracellular organelle","GO:0043230","1","0","57","6","1","3609","Q8I522"
"GO:CC","intracellular organelle","GO:0043229","1","0","2189","6","5","3609","Q76NM5,Q8I2U8,Q8I522,Q8IBB9,Q8IBE8"
"GO:CC","membrane-bounded organelle","GO:0043227","1","0","2050","6","5","3609","Q76NM5,Q8I2U8,Q8I522,Q8IBB9,Q8IBE8"
"GO:CC","organelle","GO:0043226","1","0","2238","6","5","3609","Q76NM5,Q8I2U8,Q8I522,Q8IBB9,Q8IBE8"
"GO:CC","host cell cytoplasm part","GO:0033655","1","0","218","6","1","3609","Q8I522"
"GO:CC","host intracellular part","GO:0033646","1","0","232","6","1","3609","Q8I522"
"GO:CC","host cell part","GO:0033643","1","0","375","6","1","3609","Q8I522"
"GO:CC","envelope","GO:0031975","1","0","116","6","1","3609","Q8IBB9"
"GO:CC","intrinsic component of plasma membrane","GO:0031226","1","0","54","6","1","3609","Q8IBB9"
"GO:CC","intrinsic component of membrane","GO:0031224","1","0","1247","6","3","3609","Q76NM5,Q8IBB9,Q8IBE8"
"GO:CC","host cell cytoplasm","GO:0030430","1","0","232","6","1","3609","Q8I522"
"GO:CC","apicoplast","GO:0020011","1","0","387","6","1","3609","Q8I522"
"GO:CC","symbiont-containing vacuole membrane","GO:0020005","1","0","32","6","1","3609","Q8I522"
"GO:CC","symbiont-containing vacuole","GO:0020003","1","0","56","6","1","3609","Q8I522"
"GO:CC","host cellular component","GO:0018995","1","0","382","6","1","3609","Q8I522"
"GO:CC","integral component of membrane","GO:0016021","1","0","1228","6","3","3609","Q76NM5,Q8IBB9,Q8IBE8"
"GO:CC","membrane","GO:0016020","1","0","1501","6","3","3609","Q76NM5,Q8IBB9,Q8IBE8"
"GO:CC","endomembrane system","GO:0012505","1","0","343","6","1","3609","Q8I2U8"
"GO:CC","plastid","GO:0009536","1","0","401","6","1","3609","Q8I522"
"GO:CC","cytosol","GO:0005829","1","0","352","6","1","3609","C0H582"
"GO:CC","Golgi apparatus","GO:0005794","1","0","127","6","1","3609","Q8I2U8"
"GO:CC","cytoplasm","GO:0005737","1","0","1856","6","4","3609","C0H582,Q8I2U8,Q8I522,Q8IBB9"
"GO:CC","intracellular anatomical structure","GO:0005622","1","0","2540","6","6","3609","C0H582,Q76NM5,Q8I2U8,Q8I522,Q8IBB9,Q8IBE8"
"GO:CC","anchored component of membrane","GO:0031225","1","0","29","6","1","3609","Q8IBB9"
"GO:CC","host cell","GO:0043657","1","0","382","6","1","3609","Q8I522"
"KEGG","Malaria","KEGG:05144","0.07660103867751204","1.1157653414789674","218","3","3","1056","Q76NM5,Q7KWJ3,Q8IBE8"
"KEGG","KEGG root term","KEGG:00000","1","0","1056","3","3","1056","Q76NM5,Q7KWJ3,Q8IBE8"
